iter	Passed	Remaining
403	11124	2643
404	11147	2614
405	11169	2586
406	11192	2557
407	11215	2528
408	11238	2500
409	11261	2472
410	11284	2443
411	11307	2415
412	11330	2386
413	11353	2358
414	11375	2329
415	11397	2301
416	11420	2273
417	11443	2244
418	11466	2216
419	11489	2188
420	11513	2160
421	11536	2132
422	11559	2104
423	11582	2076
424	11605	2047
425	11630	2020
426	11665	1994
427	11688	1966
428	11711	1938
429	11734	1910
430	11757	1882
431	11779	1854
432	11802	1826
433	11824	1798
434	11846	1770
435	11869	1742
436	11891	1714
437	11914	1686
438	11937	1658
439	11959	1630
440	11984	1603
441	12008	1575
442	12033	1548
443	12058	1520
444	12081	1493
445	12104	1465
446	12127	1437
447	12150	1410
448	12173	1382
449	12196	1355
450	12219	1327
451	12242	1300
452	12265	1272
453	12287	1245
454	12310	1217
455	12333	1190
456	12357	1162
457	12381	1135
458	12414	1108
459	12454	1083
460	12493	1056
461	12532	1030
462	12572	1004
463	12612	978
464	12654	952
465	12695	926
466	12734	899
467	12772	873
468	12811	846
469	12849	820
470	12888	793
471	12927	766
472	12966	740
473	13005	713
474	13044	686
475	13084	659
476	13124	632
477	13163	605
478	13201	578
479	13240	551
480	13280	524
481	13319	497
482	13358	470
483	13397	442
484	13437	415
485	13475	388
486	13514	360
487	13554	333
488	13594	305
489	13636	278
490	13680	250
491	13720	223
492	13758	195
493	13797	167
494	13836	139
495	13874	111
496	13913	83
497	13951	56
498	13990	28
499	14029	0
