iter	RMSE
483	12396.88189
484	12395.97824
485	12365.68244
486	12337.10732
487	12317.85686
488	12307.30506
489	12306.18849
490	12290.93494
491	12286.74579
492	12268.84248
493	12246.45824
494	12245.94014
495	12244.35877
496	12221.84764
497	12219.08822
498	12206.38011
499	12195.06212
500	12192.69474
501	12174.32111
502	12152.79367
503	12138.17851
504	12120.7634
505	12103.34709
506	12089.69545
507	12066.45678
508	12050.56235
509	12045.36518
510	12028.56872
511	12021.48204
512	11996.803
513	11983.92152
514	11957.60483
515	11957.20893
516	11947.44569
517	11946.26723
518	11921.50752
519	11921.18103
520	11903.25806
521	11901.73584
522	11889.61237
523	11875.79744
524	11870.12202
525	11866.31523
526	11859.10124
527	11850.5053
528	11834.61944
529	11821.53865
530	11820.92574
531	11820.2466
532	11804.4063
533	11784.67245
534	11767.35172
535	11764.90082
536	11751.85099
537	11750.10887
538	11748.19939
539	11747.73655
540	11741.87895
541	11740.18651
542	11715.92832
543	11696.07958
544	11668.73723
545	11664.07057
546	11651.5848
547	11648.79666
548	11638.57951
549	11635.77307
550	11619.04327
551	11610.17611
552	11599.76243
553	11599.10968
554	11593.9562
555	11592.59173
556	11586.83484
557	11576.2655
558	11565.55857
559	11552.85478
560	11536.86744
561	11535.266
562	11533.77045
563	11514.44843
564	11510.04485
565	11508.39998
566	11500.11311
567	11476.07673
568	11460.6571
569	11459.88683
570	11436.86005
571	11421.48561
572	11407.39244
573	11390.58849
574	11388.38659
575	11374.16064
576	11359.00367
577	11344.43499
578	11319.93246
579	11307.86688
580	11298.8954
581	11283.98939
582	11262.51397
583	11248.26052
584	11235.88528
585	11224.74356
586	11216.91609
587	11215.24605
588	11214.76551
589	11201.95066
590	11187.47081
591	11182.51232
592	11163.51437
593	11162.23668
594	11157.4262
595	11155.81801
596	11138.41504
597	11123.0481
598	11109.75106
599	11093.85097
600	11068.15959
601	11052.77081
602	11043.73898
603	11028.39537
604	11026.8649
605	11000.83049
606	11000.18605
607	10979.93459
608	10971.56877
609	10965.00333
610	10940.30446
611	10938.45995
612	10920.12606
613	10917.83728
614	10915.72002
615	10910.15127
616	10905.99097
617	10881.08803
618	10867.06378
619	10865.8789
620	10858.54856
621	10856.32588
622	10855.45018
623	10842.31404
624	10840.20256
625	10839.36729
626	10822.45352
627	10802.04376
628	10795.87553
629	10778.59303
630	10777.89815
631	10764.32872
632	10748.56232
633	10748.36348
634	10730.14448
635	10715.72674
636	10692.84312
637	10677.78275
638	10653.85983
639	10646.99676
640	10634.53453
641	10633.96665
642	10627.89123
643	10626.42716
644	10614.61027
645	10601.79517
646	10588.59725
647	10576.44621
648	10554.32792
649	10553.87219
650	10550.07344
651	10538.27686
652	10537.92498
653	10525.4536
654	10512.42438
655	10502.84527
656	10487.888
657	10474.88772
658	10463.11671
659	10439.03647
660	10432.9551
661	10408.30112
662	10393.21689
663	10386.44642
664	10367.90861
665	10359.84022
666	10342.43231
667	10336.74859
668	10335.92015
669	10335.56749
670	10325.74721
671	10320.3502
672	10303.8908
673	10294.4886
674	10278.77591
675	10257.83149
676	10245.92749
677	10223.68242
678	10223.47137
679	10222.98043
680	10221.67162
681	10221.22297
682	10212.03149
683	10210.15039
684	10201.25883
685	10181.6946
686	10172.96703
687	10172.47907
688	10171.94576
689	10170.1022
690	10168.89556
691	10164.14998
692	10162.92832
693	10153.32515
694	10124.02679
695	10112.33087
696	10098.32765
697	10097.85969
698	10087.76618
699	10077.10692
700	10066.5703
701	10045.88026
702	10024.42327
703	10021.62588
704	10020.71545
705	10018.2853
706	10007.73733
707	9991.891816
708	9978.470234
709	9974.102964
710	9973.851514
711	9970.721437
712	9969.688679
713	9966.691515
714	9965.982676
715	9961.289103
716	9955.610254
717	9950.479825
718	9944.091816
719	9928.992762
720	9923.937809
721	9911.377861
722	9897.79945
723	9881.783593
724	9851.61408
725	9850.94418
726	9842.084032
727	9833.671615
728	9822.27623
729	9821.730175
730	9808.605007
731	9798.028989
732	9791.899186
733	9786.16966
734	9782.796024
735	9770.69381
736	9765.550737
737	9764.72651
738	9746.23611
739	9728.005424
740	9722.126724
741	9713.598974
742	9703.798357
743	9699.987463
744	9693.01272
745	9690.514736
746	9669.160376
747	9666.975577
748	9666.758966
749	9655.013997
750	9641.433992
751	9629.936602
752	9613.750418
753	9603.792151
754	9593.966012
755	9571.037179
756	9568.180733
757	9552.386822
758	9542.859873
759	9528.201355
760	9520.81903
761	9516.09297
762	9505.842225
763	9481.923088
764	9475.907026
765	9467.588211
766	9449.205718
767	9439.517481
768	9429.224979
769	9424.033818
770	9416.835028
771	9405.456018
772	9402.67742
773	9401.951912
774	9393.283967
775	9378.317129
776	9378.087011
777	9375.868968
778	9363.716662
779	9354.418647
780	9346.0368
781	9344.809352
782	9337.06237
783	9332.95466
784	9319.52644
785	9315.015595
786	9307.644731
787	9303.14562
788	9290.168557
789	9286.523656
790	9278.946798
791	9271.676578
792	9271.042299
793	9268.61161
794	9258.739074
795	9250.308463
796	9249.934471
797	9240.743254
798	9234.085067
799	9220.644757
800	9213.569201
801	9202.417812
802	9202.281986
803	9195.367637
804	9172.202666
805	9171.292862
806	9162.814819
807	9162.361548
808	9161.863017
809	9149.404064
810	9148.61128
811	9138.6653
812	9131.438444
813	9117.694038
814	9108.683378
815	9107.571499
816	9099.722474
817	9095.836366
818	9086.589656
819	9072.739682
820	9060.887439
821	9050.420957
822	9041.521163
823	9040.677864
824	9028.622336
825	9024.667211
826	9021.170806
827	9020.601615
828	9007.494705
829	8993.308675
830	8985.247475
831	8977.111929
832	8974.724339
833	8954.961578
834	8946.105065
835	8937.200831
836	8930.249555
837	8929.703473
838	8915.824301
839	8914.905344
840	8907.80162
841	8907.107647
842	8903.051692
843	8887.816441
844	8875.85668
845	8862.532626
846	8847.715234
847	8847.182065
848	8840.58195
849	8836.98492
850	8836.525734
851	8826.200934
852	8807.628124
853	8806.835664
854	8792.526823
855	8792.222861
856	8786.112116
857	8785.857818
858	8777.349374
859	8761.793632
860	8760.882044
861	8758.9661
862	8758.45616
863	8757.9794
864	8747.139576
865	8740.49851
866	8736.749606
867	8733.225359
868	8732.82039
869	8732.353585
870	8726.181695
871	8707.413533
872	8703.293725
873	8699.641704
874	8699.303033
875	8674.751161
876	8663.596368
877	8649.496356
878	8645.03039
879	8636.012529
880	8615.286413
881	8604.024421
882	8595.013335
883	8583.199765
884	8581.988518
885	8577.010115
886	8572.440264
887	8572.033718
888	8562.650453
889	8552.89074
890	8548.220785
891	8543.995182
892	8534.879399
893	8534.661118
894	8526.621793
895	8521.781568
896	8517.309262
897	8503.352653
898	8499.080992
899	8492.350737
900	8488.355145
901	8475.346622
902	8463.613835
903	8450.003508
904	8447.79406
905	8444.140475
906	8432.370715
907	8413.428165
908	8402.512096
909	8400.888376
910	8393.804053
911	8388.864389
912	8385.701187
913	8385.123627
914	8371.090577
915	8362.467015
916	8356.891183
917	8343.993483
918	8343.512744
919	8331.335226
920	8322.725199
921	8322.361462
922	8313.005012
923	8312.639295
924	8302.460664
925	8296.406253
926	8293.731559
927	8288.608624
928	8280.427606
929	8270.605121
930	8263.097438
931	8255.847344
932	8252.125684
933	8251.633617
934	8236.194016
935	8228.55558
936	8227.218355
937	8226.915283
938	8225.66526
939	8219.083341
940	8211.64777
941	8211.359037
942	8203.391267
943	8185.133106
944	8177.177847
945	8170.23237
946	8168.115671
947	8167.094942
948	8159.306801
949	8155.791707
950	8144.650943
951	8140.4053
952	8134.153879
953	8128.59719
954	8116.690782
955	8115.883201
956	8097.936687
957	8092.56933
958	8088.398222
959	8087.408984
960	8086.948925
961	8073.990568
962	8068.105837
963	8056.472763
964	8047.154968
965	8046.863796
966	8036.813449
967	8036.254202
968	8036.050877
969	8032.367769
970	8028.731729
971	8021.448167
972	8013.588858
973	8008.486949
974	8007.815275
975	8004.802855
976	8003.819732
977	7993.888598
978	7981.947266
979	7973.575737
980	7968.964983
981	7966.729355
982	7958.743493
983	7950.24187
984	7948.610547
985	7940.081236
986	7924.080354
987	7922.609582
988	7921.889443
989	7921.426554
990	7916.048457
991	7909.354498
992	7907.710374
993	7897.738431
994	7890.659902
995	7884.939833
996	7879.11215
997	7878.837575
998	7872.984461
999	7864.02772
